"Número","Fecha (dd/mm/aa)","Nombre actividad","Costo","Presupuesto","Tiempo invertido","Tipo","Momento","No. de personas"
"1","110825","Compra de tabla periodica","24","30","10","academico","tarde","2"
"2","110825","Gasto gasolina distancia","18","44","10","transporte","mañana",""
"3","120825","Compra de crema","35","50","10","alimentos","tarde","2"
"4","120825","Gasto gasolina distancia","18","44","10","transporte","mañana","2"
"5","130825","Compra de manzanas","327","500","15","alimentos","tarde","2"
"6","130825","Gasto gasolina distancia","18","44","10","transporte","mañana","2"
"7","140825","Gasto gasolina distancia","18","44","10","transporte","mañana","2"
"8","150825","Gasolina","581","700","10","transporte","tarde","2"
"9","150825","Gasto gasolina distancia","18","44","10","transporte","mañana","2"
"10","150825","Compra de pastel de cumpleaños","645","800","20","alimentos","tarde","3"
"11","160825","Cine","786","800","180","entretenimiento","noche","4"
"12","160825","Gasto gasolina distancia","18","44","10","transporte","mañana","2"
"13","170825","ingredientes comida","400","349","35","alimentos","mañana","3"
"14","170825","Gasto gasolina distancia","18","44","10","transporte","mañana","2"
"15","180525","Gasto gasolina distancia","18","44","10","transporte","mañana","2"
"16","190525","Gasto gasolina distancia","18","44","10","transporte","mañana","2"
"17","190825","gasolina","676","800","15","transporte","noche","3"
"18","190825","café","94","100","25","alimentos","noche","2"
"19","200825","Gasto gasolina distancia","18","44","10","transporte","mañana","2"
"20","210825","Oxxo ","35","50","5","alimentos","tarde","2"
"21","210825","Gasto gasolina distancia","22.5","44","15","transporte","tarde","2"
"22","210825","bubble tea","254","400","20","alimentos","tarde","2"
"23","220825","Gasto gasolina distancia","18","44","10","transporte","mañana","2"
"24","220825","gasolina","1200","1500","25","transporte","mañana","3"
"25","230825","Ahorro","500","500","2","Ahorros/inversión","mañana","1"
"26","230825","Gasto gasolina distancia","22.5","44","15","transporte","tarde","2"
"27","230825","supermercado","2935","3500","75","alimentos","tarde","3"
"28","240825","Ahorro","500","500","2","Ahorros/inversión","mañana","1"
"29","240825","Gasto gasolina distancia","18","44","10","transporte","mañana","2"
"30","240825","bubble tea","598","700","45","alimentos","tarde","5"
"31","240525","ropa deportiva","1238","1400","50","ejercicio","tarde","2"
"32","250825","Gasto gasolina distancia","18","44","10","transporte","mañana","2"
"33","250825","bolos","2678","3000","95","entretenimiento","tarde","7"
"34","250825","Korean Grill","326.7","400","120","alimentos","noche","2"
"35","260825","Oxxo ","96.8","100","5","alimentos","mañana","1"
"36","260825","Desayuno bretonas","273","400","60","alimentos","mañana","1"
"37","260825","Gasto gasolina distancia","18","44","10","transporte","mañana","2"
"38","260825","uber eats ","202.38","300","5","alimentos","tarde",""
"39","270825","Gasto gasolina distancia","18","44","10","transporte","mañana","2"
"40","270825","sushi","554","800","45","alimentos","tarde","3"
"41","280825","Gasto gasolina distancia","18","44","10","transporte","mañana","2"
"42","280825","supermercado","3250","4000","70","alimentos","noche","4"
"43","290825","Gasto gasolina distancia","18","44","10","transporte","mañana","2"
"44","290825","licuado","254","350","15","alimentos","mañana","2"
"45","300825","Gasto gasolina distancia","18","44","10","transporte","mañana","2"
"46","310825","Gasto gasolina distancia","18","44","10","transporte","mañana","2"
"47","310825","Oxxo ","94.5","100","10","alimentos","tarde","4"
"48","310825","Ahorro ","500","500","2","Ahorros/inversión","tarde",""
"49","10925","Gasto gasolina distancia","18","44","10","transporte","mañana","2"
"50","10925","Papelería","586","700","25","academico","noche","3"
"51","10925","Recarga datos","200","250","5","entretenimiento","tarde","2"
"52","20925","Gasto gasolina distancia","18","44","10","transporte","mañana","2"
"53","20925","Gasolina ","592.75","600","10","transporte","tarde","4"
"54","20925","Tacos","250","400","50","alimentos","noche","2"
"55","30925","Gasto gasolina distancia","18","44","10","transporte","mañana","2"
"56","30925","Starbucks","94","100","15","alimentos","mañana","1"
"57","30925","ahorro ","500","500","2","Ahorros/inversión","tarde","1"
"58","40925","Luka","215","300","35","alimentos","tarde","2"
"59","40925","Gasto gasolina distancia","18","44","10","transporte","mañana","2"
"60","50925","Gasto gasolina distancia","18","44","10","transporte","mañana","2"
"61","50925","Oxxo ","48","50","10","alimentos","tarde","2"
"62","60925","Gasto gasolina distancia","18","44","10","transporte","mañana","2"
"63","70925","Gasto gasolina distancia","18","44","10","transporte","mañana","2"
"64","80925","Gasto gasolina distancia","18","44","10","transporte","mañana","2"
"65","90925","Gasto gasolina distancia","18","44","10","transporte","mañana","2"
"66","90925","Gasolina","650","700","20","transporte","tarde","2"
"67","100925","Gasto gasolina distancia","18","44","10","transporte","mañana","2"
"68","100925","Ahorro","500","500","5","Ahorros/inversión","tarde","1"
"69","110925","Gasto gasolina distancia","18","44","10","transporte","mañana","2"
"70","120925","Gasto gasolina distancia","18","44","10","transporte","mañana","2"
"71","130925","Gasto gasolina distancia","18","44","10","transporte","mañana","2"
"72","130925","pan","94","150","10","alimentos","mañana","3"
"73","140925","Gasto gasolina distancia","18","44","10","transporte","mañana","2"
"74","140925","bubble tea","583","650","20","alimentos","tarde","4"
"75","200825","tenis para volley","1500","2000","30","ejercicio","tarde","4"
"76","210825","ahorro","1500","1500","10","Ahorros/inversión","mañana","1"
"77","220825","poke","254","300","30","alimentos","tarde","3"
"78","230825","Oxxo ","79","100","15","alimentos","mañana","2"
"79","240825","Gasto gasolina distancia","18","44","10","transporte","mañana","2"
"80","250825","oxxo ","50","100","25","alimentos","mañana","4"
"81","260825","Gasto gasolina distancia","18","44","10","transporte","mañana","2"
"82","270825","Oxxo ","65","100","15","alimentos","mañana","3"
"83","280825","Tim Hortons","120","200","25","alimentos","tarde","3"
"84","290825","Gasto gasolina distancia","18","44","10","transporte","mañana","2"
"85","300825","Intertecs","4600","6000","10","entretenimiento","tarde","2"
"86","10925","Oxxo ","45","100","10","alimentos","tarde","2"
"87","20925","Gasto gasolina distancia","18","44","10","transporte","mañana","2"
"88","30925","Tim Hortons","78","200","15","alimentos","mañana","3"
"89","40925","Gasto gasolina distancia","18","44","10","transporte","mañana","2"
"90","50925","Gasto gasolina distancia","18","44","10","transporte","mañana","2"
"91","60925","cine","256","400","90","entretenimiento","tarde","3"
"92","70925","Gasto gasolina distancia","18","44","10","transporte","mañana","2"
"93","80925","Tacos","350","400","50","alimentos","noche","3"
"94","90925","Gasto gasolina distancia","18","44","10","transporte","mañana","2"
"95","100925","Gasto gasolina distancia","18","44","10","transporte","mañana","2"
"96","110925","Cena","570","600","60","alimentos","noche","3"
"97","120925","Gasto gasolina distancia","18","44","10","transporte","mañana","2"
"98","130925","Amazon","2600","3000","15","entretenimiento","tarde","2"
"99","140925","Gasto gasolina distancia","18","44","10","transporte","mañana","2"
"100","150925","Gasto gasolina distancia","18","44","10","transporte","mañana","2"
"101","160925","airpods","4500","5000","15","entretenimiento","tarde","2"
"102","170925","Oxxo ","136","200","10","alimentos","tarde","2"
"103","180925","Gasto gasolina distancia","18","44","10","transporte","mañana","2"
"104","190925","Gasto gasolina distancia","18","44","10","transporte","mañana","2"
"105","200925","Gasto gasolina distancia","18","44","10","transporte","mañana","2"
"106","210925","cine","576","700","120","entretenimiento","tarde","4"
"107","220925","poke","257","300","25","alimentos","tarde","2"
"108","81025","Gasto gasolina distancia","18","44","10","transporte","mañana","2"
"109","91025","Gasto gasolina distancia","18","44","10","transporte","mañana","2"
"110","101025","Oxxo ","45","100","10","alimentos","mañana","2"
"111","111025","ahorro","1500","1500","12","Ahorros/inversión","noche","2"
"112","121025","Gasto gasolina distancia","18","44","10","transporte","mañana","2"
"113","131025","café","102","120","15","alimentos","noche","2"
"114","141025","muelas del juicio","4500","5000","130","salud","tarde","2"
"115","151025","Gasto gasolina distancia","18","44","10","transporte","mañana","2"
"116","161025","medicina","500","600","25","salud","tarde","2"
"117","171025","medicina","345","400","20","salud","noche","2"
"118","181025","Gasto gasolina distancia","18","44","10","transporte","mañana","2"
"119","191025","café","102","200","15","alimentos","mañana","2"
"120","201025","electrolitos","67","100","15","alimentos","tarde","2"
"121","211025","Gasto gasolina distancia","18","44","10","transporte","mañana","2"
"122","221025","Gasto gasolina distancia","18","44","10","transporte","mañana","2"
"123","231025","Gasto gasolina distancia","18","44","10","transporte","mañana","2"
"124","241025","Oxxo ","67","100","10","alimentos","tarde","2"
"125","251025","saldo","587","600","15","entretenimiento","tarde","2"
"126","261025","cine","870","900","120","entretenimiento","noche","4"
"127","11125","saldo","587","600","15","entretenimiento","tarde","2"
"128","21125","oxxo ","64","100","15","alimentos","tarde","2"
"129","31125","balón","275","300","25","entretenimiento","tarde","2"
"130","41125","pelota squash","135","200","20","entretenimiento","tarde","2"
"131","51125","Gasto gasolina distancia","18","44","10","transporte","mañana","2"
"132","61125","Gasto gasolina distancia","18","44","10","transporte","mañana","2"
"133","71125","Gasto gasolina distancia","18","44","10","transporte","mañana","2"
